"","contair","Intrsc","ppub","islcal","cobarb","pop10","morta","pbranc","pparda","noenrg","noagpt","norrss","nosane","hphog","dnspop","ppoprl","ppopmd","alfa"
"MARSILAC",15.77540983,9.389091674,30.6805799,-1.317725433,88.19603511,8258,0.242189392,0.49588278,0.429643982,0.361856109,0.834823329,0.083439762,0.001277139,3.48,35.92915618,0.417624521,0.239250745,88.79
"MOOCA",18.125,561.6109852,1.40700505,3.100831833,0.0847439,75724,0.066029264,0.850536158,0.101539802,0.001511944,0.001511944,0.000188993,3.78e-05,2.79,8707.50005,0.070885789,0.568598541,98.18
"MORUMBI",16.15454544,465.8081109,3.517991768,3.5211117,4.059684427,46957,0.106480397,0.771131035,0.155141938,0.030942517,0.007767996,0.001035733,0.0003884,3.02,3742.804836,0.133831169,0.286298701,96.71
"PARELHEIROS",16.53777784,74.22571899,26.37539761,-1.110537933,62.36386453,131183,0.442130459,0.417272055,0.488584649,0.093831615,0.169973883,0.011039013,0.001319297,3.52,791.5097134,0.360960767,0.294046369,91.25
"PARI",17.39999962,622.9327809,4.238497401,3.7633303,0.106692532,17299,0.115613619,0.608879126,0.300768831,0.001623669,0.001082446,0.011546094,0,3.1,5856.583791,0.149765428,0.537170696,95.58
"PARQUE DO CARMO",15.53571429,250.8891953,48.60106974,1.252424867,35.74261132,68258,0.219754461,0.582232119,0.341615635,0.032782844,0.002218388,0.001232438,9.86e-05,3.36,3988.168303,0.238611714,0.449418261,95.29
"PEDREIRA",17.21176495,322.440164,2.364348162,0.573112533,15.08290647,144317,0.152442193,0.466556262,0.43926218,0.029460719,0.004969564,0.004874453,0.000475556,3.43,7161.218399,0.275183107,0.381266052,93.54
"PENHA",18.16923068,769.3775733,2.753681532,3.075184333,0.020373903,127820,0.156470036,0.73777969,0.185941167,0.005060149,0.002291388,0.000405767,0.000310292,3.04,10207.78923,0.116803132,0.596739156,97.19
"PERDIZES",17.75999985,784.4244047,1.458786764,3.4673332,0.10280503,111161,0.017991922,0.879148262,0.072390497,0.001718804,0.001535465,0.000183339,4.58e-05,2.53,16064.37016,0.054787295,0.382593739,98.74
"PERUS",16.7653846,190.3078367,4.197538249,0.559824367,32.16703166,80187,0.137179343,0.502662526,0.410328357,0.010005266,0.022731262,0.005090398,0.000789889,3.51,3114.32949,0.308026506,0.363145653,93.07
"PINHEIROS",17.08888902,721.7116824,3.20111278,4.314168767,0.284374671,65364,0.107092589,0.846490423,0.08555168,0.001144629,0.000923088,0.000147694,0,2.4,7206.532601,0.091983746,0.339637976,98.63
"PIRITUBA",17.29333331,570.3575908,20.72787728,3.0582056,10.27207087,167931,0.136961014,0.675265436,0.257885679,0.006692662,0.003224476,0.000881107,0.000374939,3.15,8988.430986,0.157732906,0.533157095,95.8
